original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"how can i then return in happy plight,
that am debarr’d the benefit of rest?
when day’s oppression is not eas’d by night,
but day by night, and night by day oppress’d,
and each, though enemies to either’s reign,
do in consent shake hands to torture me,
the one by toil, the other to complain
how far i toil, still further off from thee.
i tell the day, to please him thou art bright
and dost him grace when clouds do blot the heaven:
so flatter i the swart-complexion’d night;
when sparkling stars twire not thou gild’st the even.
but day doth daily draw my sorrows longer,
and night doth nightly make grief’s strength seem stronger.","como hei de restaurar-me na bonança
se órfão da graça do repouso vi-me,
pois a opressão do dia a noite alcança,
da noite o dia, e dia e noite oprime;
que ambos, embora em natureza opostos,
deram-se as mãos para me dar tortura:
um dá-me a dura pena, outro desgostos,
que este penar longe de ti mais dura.
digo que és luz para agradar ao dia,
e, se há nuvens, que podes removê-las;
louvo também da noite a tez sombria:
douras o céu se não houver estrelas.
mas cada dia, o dia a dor aumenta
e cada noite, a noite inda a acrescenta.",en_XX,pt_XX,"Como posso então retornar em alegre estado,
quando sou privado do benefício do descanso?
Quando a opressão do dia não é aliviada pela noite,
mas dia e noite, reciprocamente oprimem-me,
e ambos, embora inimigos do reinado um do outro,
em consentimento unem-se para me torturar,
um pelo trabalho, o outro para lamentar
quanto mais me esforço, mais longe de ti me encontro.
Digo ao dia, para agradá-lo, que és brilhante
e o honras quando nuvens mancham o céu:
assim lisonjeio a noite de tez morena;
quando as estrelas cintilantes não piscam, tu douras a noite.
Mas o dia diariamente prolonga minhas tristezas,
e a noite aumenta a força do pesar a cada noite."
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e lá no alto, sobre os altos penhascos
fileiras semi-translúcidas,
centenas de pássaros negros finos são rabiscados
pendurados em ênes em bancos.
se ouve o choro deles, chorando,
o único som que há
exceto pelo ocasional suspiro
quando um grande animal aquático respira.
na luz rosada
o pequeno sol vermelho vai rolando, rolando,
rodando e rodando na mesma altura
num pôr do sol perpétuo, abrangente, consolador,
enquanto os navios o contemplam.
aparentemente eles chegaram ao seu destino.
seria difícil dizer o que os trouxe ali,
comércio ou contemplação."
"i reason, earth is short,
and anguish absolute,
and many hurt;
but what of that?
i reason, we eould die:
the best vitality
cannot excel decay;
but what of that?
i reason that in heaven
somehow, it will be even.
some new equation given:
but what of that","a vida é curta,
a dor absoluta,
muitos caem na luta:
mas e daí?
mesmo o mais forte,
não vence a morte,
essa é a humana sorte:
mas, e daí?
no céu de algum modo as contas
se acertarão
em nova eouação
mas, e daí?",en_XX,pt_XX,"Eu penso, a terra é breve,
e a angústia absoluta,
e muitos se machucam;
mas e daí?
Eu penso, poderíamos morrer:
a melhor vitalidade
não pode superar a decadência;
mas e daí?
Eu penso que no céu
de alguma forma, será igual.
alguma nova equação dada:
mas e daí?"
"i never saw a moor,
i never saw the sea;
yet know i how the heather looks,
and what a wave must be.
i never spoke with god,
nor visited in heaven:
yet certain am i of the spot
as if the chart were given.","nunca vi o deserto,
nunca vi o mar;
no entanto sei como é o cactus,
e a vaga a ondular.
nunca falei com deus.
nem fui ao paraíso;
mas conheço o caminho
qual mapa preciso.",en_XX,pt_XX,"Nunca vi o mar aberto,
nem a vastidão do pântano;
mas sei como é o brejo,
e a força de um oceano.

Nunca falei com Deus,
nem visitei o paraíso:
mas certo estou do meu lugar
como se tivesse um aviso."
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"Meu espelho não há de me convencer de estar velho,
enquanto juventude e tu estiverdes em sintonia;
mas quando em ti as rugas do tempo vejo,
então encaro a morte a expiar meus dias.
Pois toda a beleza que te cobre
é apenas a traje aprazível do meu coração,
que em teu peito vive, assim como o teu em mim:
como então poderia ser mais velho do que és?
Oh! Por isso, amor, cuida de ti mesmo
como eu, não por mim, mas por ti farei;
guardando teu coração, que zelarei tão amoroso
como uma terna mãe protege seu filho de sofrer mal.
Não presumas de teu coração quando o meu estiver desfeito;
tu me deste o teu, não para devolveres."
"our dual presence has its unity
in that perfection of body which my love,
by loving it, became, and did from life
raise into godness, calm above the strife
of times, and changing passions far above.
but since men see more with the eyes than soul,
still i in stone shall utter this great dole;
still, eager that men hunger by thy presence,
i shall to marble carry this regret
that in my heart like a great star is set.
thus, even in stone, our love shall stand so great
in thy statue of us, like a god's fate,
our love's incarnate and discarnate essence,
that, like a trumpet reaching over seas
and going from continent to continent,
our love shall speak its joy and woe, death-blent,
over infinities and eternities.","nossa dual presença tem sua unidade
na perfeição corpórea em que meu amor,
amando-a, se tornou, e elevou da vida
à divindade, calma sobre a luta-tempo
e muito acima das paixões mutáveis.
mas se homens mais veem d'olhos que d'alma,
eis que em pedra clamarei minha grande dor;
e zeloso dos homens, famintos de tua presença,
transporei ao mármore esta mágoa
que em meu coração como grande estrela se posta.
assim, mesmo em pedra se erguerá nosso amor tão grande
em tua nossa estátua, qual de um deus destino,
encarnada-desencarnada essência do nosso amor,
que, qual trompa ressoando além-mar
e indo de continente a continente,
nosso amor dirá sua alegre dor, morte-mesclando,
sobre infinidades e eternidades.",en_XX,pt_XX,"Nossa dual presença tem sua unidade
na perfeição do corpo, que meu amor,
amando-o, tornou-se, e da vida
elevou-se à divindade, acima da lida
dos tempos, e paixões mutáveis acima.
Mas como os homens veem mais com os olhos que com a alma,
ainda em pedra proferirei esta grande dor;
ainda, ansioso para que os homens ansiem por tua presença,
levarei ao mármore este pesar
que em meu coração como uma grande estrela está fixado.
Assim, mesmo em pedra, nosso amor será tão grandioso
na estátua de nós, como o destino de um deus,
a essência encarnada e desencarnada do nosso amor,
que, como uma trombeta alcançando mares
e indo de continente a continente,
nosso amor proclamará sua alegria e dor, misturadas com a morte,
sobre infinitudes e eternidades."
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,"Os pardais apressados começam seu jogo.
Então, no ocidente, “boom!” e uma nuvem de fumaça.
“Boom!” e a bola explodindo
de flores floresce novamente.
(e todos os empregados que trabalham em plantas
onde tal som diz “perigo”, ou uma vez disse “morte”,
se viram no sono e sentem
os pelos curtos eriçando
nas costas do pescoço.) a nuvem de fumaça se afasta.
Uma camisa é retirada de um varal fio a fio.
Ao longo da rua abaixo
a carroça de água vem
lançando seu assobio, leque nevado através
de cascas e jornais. a água seca
seca-leve, molhado-escuro, o padrão
da fresca melancia.
Ouço os despertares matinais
de molas do dia ressoando
das paredes de pedra e corredores e camas de ferro,
cascateando ou agrupadas,
alarmes para o esperado:
curiosos cupidos de todas as pessoas se levantando,
cuja refeição vespertina eles prepararão o dia todo,
você jantará bem
em seu coração, no dele, e no dele,
então mande-os sobre seus negócios afetuosamente,
arrastando pelas ruas seus amores únicos.
Açoite-os apenas com rosas,
seja leve como hélio,
pois sempre a um, ou vários, chega a manhã,
cujas cabeças caíram sobre a borda de suas camas,
cujos rostos estão voltados
de modo que a imagem da
cidade cresce para baixo em seus olhos abertos
invertida e distorcida. não. quero dizer
distorcida e revelada,
se ele a vê de fato."
"hang with festoons and wreaths and coronals
the corridors and halls!
be there all round the sound of gay bells ringing!
let there be echoing singing!
pour out like a libation all your joy!
shout, even ye children, little maid and boy
whose belly yet unfurred yet whitely decks
a sexless thing of sex!
shout out as if ye knew what joy this is
you clap at in such bliss!","enfeitai com festões, guirlandas e coroas
os corredores e salas!
que haja ao redor o alegre som de sino tinindo!
que haja ecoante canto!
vertei qual libação toda a alegria!
gritai mesmo vós, pequenos, menina e rapaz
cujo ventre 'inda liso orna cândido
um assexuado algo de sexo!
berrai como se soubésseis que alegria é esta
que aplaudis com tal deleite!",en_XX,pt_XX,"pendurem com guirlandas e coroas
os corredores e salões!
que ecoe por todo o som dos sinos alegres!
deixe-se ouvir o canto ecoante!
derramem como uma libação toda a alegria!
gritem, mesmo vós, crianças, menina e menino
cujas barrigas ainda sem pelos ainda se enfeitam
de algo sem sexo!
gritem como se soubessem que alegria é esta
que aplaudem com tanta felicidade!"
"lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.
lullaby.
let nations rage,
let nations fall.
the shadow of the crib makes an enormous cage
upon the wall.
lullaby.
sleep on and on,
war’s over soon.
drop the silly, harmless toy,
pick up the moon.
lullaby.
if they should say
you have no sense,
don’t you mind them; it won’t make
much difference.
lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.","nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.
nana neném.
países brigam,
países morrem.
a sombra do berço traça na parede
uma gaiola enorme.
nana neném.
dorme que a guerra acaba
e o sono continua.
larga esse brinquedo bobo
e pega a lua.
nana neném.
se alguém disser
que criança não tem siso,
não liga pra eles não, que isso de siso
não é preciso.
nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.",en_XX,pt_XX,"ninar.
adulto e criança
se entregam ao descanso.
no mar o grande navio afunda e perece,
chumbo em seu peito.
ninar.
deixemos as nações enfurecer,
deixemos as nações cair.
a sombra do berço forma uma enorme gaiola
na parede a se erguer.
ninar.
dorme, sem fim,
a guerra logo acaba.
deixe de lado o brinquedo bobo e inofensivo,
pegue a lua que se alça.
ninar.
se disserem que
não tens juízo,
não se importe; não fará
muita diferença, nem um pingo.
ninar.
adulto e criança
se entregam ao descanso.
no mar o grande navio afunda e perece,
chumbo em seu peito."
"last night another big one fell.
it splattered like an egg of fire
against the cliff behind the house.
the flame ran down. we saw the pair
of owls who nest there flying up
and up, their whirling black-and-white
stained bright pink underneath, until
they shrieked up out of sight.
the ancient owls’ nest must have burned.
hastily, all alone,
a glistening armadillo left the scene,
rose-flecked, head down, tail down,
and then a baby rabbit jumped out,
short-eared, to our surprise.
so soft! — a handful of intangible ash
with fixed, ignited eyes.
too pretty, dreamlike mimicry!
o falling fire and piercing cry
and panic, and a weak mailed fist
clenched ignorant against the sky!","ontem caiu um grande aqui perto
na encosta de pedra nua.
quebrou como um ovo de fogo.
as chamas desceram. vimos duas
corujas fugindo do ninho,
os dorsos das asas ariscas
tingidas de um rosa vivo,
guinchando até sumirem de vista.
o velho ninho se incendiara.
sozinho, em polvorosa,
um tatu reluzente fugiu,
cabisbaixo, salpicado de rosa,
depois um ser de orelhas curtas,
por estranho que pareça, um coelho.
tão macio! — pura cinza intangível
com olhos fixos, dois pontos vermelhos.
ah, mimetismo frágil, onírico!
fogo caindo, um escarcéu
e um punho cerrado, ignorante
e débil, voltado contra o céu!",en_XX,pt_XX,"Na noite passada caiu mais um.
Espiou como um ovo de fogo
contra a rocha atrás da casa.
A chama desceu. vimos o par
de corujas que ali aninham voar
e subir, seu rodopiar preto-e-branco
manchado de rosa brilhante por baixo, até
gritarem sumindo de vista.
O antigo ninho de corujas deve ter ardido.
Apressadamente, sozinho,
um tatu brilhante deixou o cenário,
pintalgado de rosa, cabeça baixa, cauda baixa,
e então um coelho bebê saltou,
de orelhas curtas, para nossa surpresa.
Tão macio! — um punhado de cinza intangível
com olhos fixos e acesos.
Mimética bonita, onírica demais!
Ó fogo caído e grito penetrante
e pânico, e um fraco punho blindado
cerrado ignorante contra o céu!"
